attribute1 attribute2 attribute3 label
5.423699403481297310e+00 4.737221568225847612e+00 4.336874190223143799e+00 1.000000000000000000e+00
5.139149047862018094e+00 4.843849740032445617e+00 1.038426309283408955e+00 1.000000000000000000e+00
5.135332087342384000e+00 5.489883610116826240e+00 5.481572157793190847e+00 0.000000000000000000e+00
4.561004013562795834e+00 5.293197096790594358e+00 6.372537109222628615e+00 0.000000000000000000e+00
5.716052318865173731e+00 4.841129357767409935e+00 8.142673874898031627e+00 1.000000000000000000e+00
5.986108155334937564e+00 5.245702318800037567e+00 1.695854791272928352e+01 1.000000000000000000e+00
5.076803970409779154e+00 5.509390278487980908e+00 1.236001054832663648e+01 0.000000000000000000e+00
5.448831260451532543e+00 5.204419611984394400e+00 9.418280037664244375e+00 0.000000000000000000e+00
5.416239467555928222e+00 5.297034834838475703e+00 1.232808538883561944e+01 0.000000000000000000e+00
5.136017822076587969e+00 5.434888744607498268e+00 1.170555310736791643e+00 0.000000000000000000e+00
5.523963226262429416e+00 5.063101969088808829e+00 5.707351363904777486e+00 0.000000000000000000e+00
5.917829649549758209e+00 4.989427856175318254e+00 4.699138803829105981e-01 1.000000000000000000e+00
5.577089503431248652e+00 4.779200427539644025e+00 8.978013236684557086e+00 1.000000000000000000e+00
5.987174564848039005e+00 5.041416536114570413e+00 1.836159039806264914e+01 1.000000000000000000e+00
5.617680211936372459e+00 4.765115962659827176e+00 3.832291154485869544e+00 1.000000000000000000e+00
4.995202097045190470e+00 5.044158645600098190e+00 4.015933709366484194e+00 1.000000000000000000e+00
5.262039395813730813e+00 5.415247982352060951e+00 1.244661911805332366e+01 0.000000000000000000e+00
4.539672856408085266e+00 5.275214444692026383e+00 6.687919954865959582e+00 0.000000000000000000e+00
5.211804220834638457e+00 5.456739883985756379e+00 1.555452068593784709e+01 0.000000000000000000e+00
4.757096471041855068e+00 5.445626522721871865e+00 1.514287945265046531e+01 0.000000000000000000e+00
5.710980661219765331e+00 4.800974793552826192e+00 1.875980533927301153e+01 1.000000000000000000e+00
5.103398990294410353e+00 4.932671295917858245e+00 5.440976991765889004e-01 1.000000000000000000e+00
5.362473999007189462e+00 5.324861469402350167e+00 6.822942340179598553e+00 0.000000000000000000e+00
5.362319099225559604e+00 5.386817040855142125e+00 1.462009815648141497e+01 0.000000000000000000e+00
5.388819142474199353e+00 4.776338426096406131e+00 1.495679602777618555e+01 1.000000000000000000e+00
5.989846729467846131e+00 5.228999635364129261e+00 4.259228965194972183e-01 1.000000000000000000e+00
4.524334200316300070e+00 5.095256600894418675e+00 8.932473127044133321e+00 0.000000000000000000e+00
4.828775985621170719e+00 5.461474883003027969e+00 1.988560535598391965e+01 0.000000000000000000e+00
5.077446275628686223e+00 5.014205814675896988e+00 2.984858397186198609e+00 1.000000000000000000e+00
5.348744408112931836e+00 5.291978220974603353e+00 1.153558464713188414e+01 0.000000000000000000e+00
4.532923436552866114e+00 5.168792757883506006e+00 1.835399787680153239e+01 0.000000000000000000e+00
5.869881250750482060e+00 5.035641629350395831e+00 3.015683475104147249e-01 1.000000000000000000e+00
5.015841438419855081e+00 5.137594086417182737e+00 1.912762073019552034e+01 1.000000000000000000e+00
5.532765781819185769e+00 4.770034882971373236e+00 1.587679959826390252e+01 1.000000000000000000e+00
4.642326430134243509e+00 5.330414876442403305e+00 1.072043679698411189e+00 0.000000000000000000e+00
4.571618902329560363e+00 5.225274183917081317e+00 1.385407246355956090e+01 0.000000000000000000e+00
4.894289400328537987e+00 5.444992882816601210e+00 1.073441385572615303e+01 0.000000000000000000e+00
4.990905415306137627e+00 5.169752597272415429e+00 1.152863530870852316e+01 1.000000000000000000e+00
5.115940169037360263e+00 5.475288838444286377e+00 1.173148108432932091e+01 0.000000000000000000e+00
4.702479612805960052e+00 5.395225764785325673e+00 1.610166901790702809e+01 0.000000000000000000e+00
4.490000494905324935e+00 5.106276705563487894e+00 4.751152950830251243e+00 0.000000000000000000e+00
5.300317672292783833e+00 4.841867521753863812e+00 1.078970698087597935e+00 1.000000000000000000e+00
4.503400872310563408e+00 5.196380713091271808e+00 1.655517741066660875e+01 0.000000000000000000e+00
4.864549500262588921e+00 5.478281301525655955e+00 1.526511396196938364e+01 0.000000000000000000e+00
5.290486180972408192e+00 4.829012118500186190e+00 1.435110162267387857e+00 1.000000000000000000e+00
5.051273856451572897e+00 5.086037068781515735e+00 1.462889849451095081e+01 1.000000000000000000e+00
5.827840653429464446e+00 4.864892778692345487e+00 1.488316057378627555e+01 1.000000000000000000e+00
5.446652345735274459e+00 5.096525628037463562e+00 6.805163706043238392e+00 0.000000000000000000e+00
5.055056742233793976e+00 5.034597170492922658e+00 7.933682364995418013e+00 1.000000000000000000e+00
5.203205456371158277e+00 4.856844455393196647e+00 1.337534303502488697e+01 1.000000000000000000e+00
4.681358960338953601e+00 5.386235353767769851e+00 1.979944613098389183e+01 0.000000000000000000e+00
5.323060377429521317e+00 5.353444498208130398e+00 1.955044611425918433e+01 0.000000000000000000e+00
5.880745029173162663e+00 4.894831167742491829e+00 9.909142590440822573e-01 1.000000000000000000e+00
6.017451121159367311e+00 5.145169208463448385e+00 7.918311199359305164e+00 1.000000000000000000e+00
6.000373491691082251e+00 5.134639928709177070e+00 2.902580209105920517e-01 1.000000000000000000e+00
5.112545711023355643e+00 4.975460991086438689e+00 8.237087099138209467e+00 1.000000000000000000e+00
5.032393297382280473e+00 5.237485767769872957e+00 1.683055685231465404e+01 1.000000000000000000e+00
4.635007036760780963e+00 5.331936506061541792e+00 3.313044967580724975e+00 0.000000000000000000e+00
5.427583263505169064e+00 5.221386165485758291e+00 6.364499200079083430e+00 0.000000000000000000e+00
5.030536725368854434e+00 5.089559273903974557e+00 1.603160751566533548e+01 1.000000000000000000e+00
5.535769195118648511e+00 5.005159999947055738e+00 1.460261570092272088e+01 0.000000000000000000e+00
5.077025959459919413e+00 4.916000633447979773e+00 1.152854246822931827e+01 1.000000000000000000e+00
4.810227380842569289e+00 5.428673849157007680e+00 1.482548915902960829e+01 0.000000000000000000e+00
5.279684291187093592e+00 5.419836454977270179e+00 1.344801830799779196e+01 0.000000000000000000e+00
5.488946136082772931e+00 4.986809365222410584e+00 8.832527588441308808e+00 0.000000000000000000e+00
5.806793252908578395e+00 4.821654832106220923e+00 1.375798174233086435e+01 1.000000000000000000e+00
5.311171265192102808e+00 4.786421686948605370e+00 1.818842713019461144e+01 1.000000000000000000e+00
4.738222919747906658e+00 5.402979906180044090e+00 4.864665439288186732e+00 0.000000000000000000e+00
5.504171153841369346e+00 4.754740832544318785e+00 1.016789155946373491e+01 1.000000000000000000e+00
5.256172943695602839e+00 4.889531655046930325e+00 2.844880110743521762e+00 1.000000000000000000e+00
